Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Darnley, Joe",WISC,33,SS,ML,26,0.221,0.23699999999999999,0.30499999999999999,95,21,6,1,0,14,10,2,9,0,0,6,0
"Deacon, Delbert",SUGR,26,LF,ML,26,0.36499999999999999,0.41599999999999998,0.48099999999999998,104,38,9,0,1,16,13,9,7,1,1,5,0
"Delacruz, Barry",SF,31,RF,ML,26,0.248,0.36299999999999999,0.371,105,26,4,0,3,19,14,19,22,0,0,2,0
"Depass, Mark",PORT,25,1B,ML,24,0.318,0.36299999999999999,0.48199999999999998,85,27,5,0,3,12,11,6,23,0,0,2,0
"Disbrow, Dennis",MIDL,26,C,ML,14,0.5,0.57099999999999995,0.61099999999999999,18,9,0,1,0,5,3,3,0,0,1,0,0
"Do-Right, Studley",PORT,22,RF,ML,24,0.32600000000000001,0.38500000000000001,0.621,95,31,7,0,7,13,26,9,8,1,1,4,0
"Doe, John",ROME,26,LF,ML,26,0.26100000000000001,0.28599999999999998,0.40899999999999997,88,23,4,0,3,14,6,3,13,5,2,0,0
"Dombkowski, Marshall",WISC,29,RF,ML,26,0.34,0.41799999999999998,0.54600000000000004,97,33,8,0,4,17,22,13,17,0,0,3,0
"Dowless, Robbie",ROME,25,SS,ML,26,0.27700000000000002,0.31,0.42199999999999999,83,23,7,1,1,7,10,4,20,0,0,4,0
"Drake, Eli",ROCK,24,SS,ML,24,0.27,0.36299999999999999,0.47199999999999998,89,24,3,0,5,13,16,13,15,0,0,3,0
"Drake, Nathaniel",ERIE,27,2B,ML,16,0.25600000000000001,0.29299999999999998,0.35899999999999999,39,10,4,0,0,3,5,2,10,0,0,0,0
"Dudding, Joshua",OKC,33,CF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"During, Juan",PORT,31,CF,ML,24,0.253,0.29799999999999999,0.38,79,20,7,0,1,12,6,5,8,7,1,4,0
"Duryee, Marv",EDMO,30,1B,ML,26,0.28199999999999997,0.35099999999999998,0.46600000000000003,103,29,7,0,4,13,21,11,15,0,0,2,0
"Echeverri, Chris",LOUI,24,LF,ML,20,0.26200000000000001,0.34,0.46400000000000002,84,22,3,1,4,13,8,10,14,1,1,2,1
"Edie, Mikey",IDA,33,CF,ML,25,0.28100000000000003,0.39,0.41599999999999998,89,25,3,0,3,18,10,16,8,3,2,1,0
"Edwards, Tallen",MIDL,28,C,ML,24,0.22800000000000001,0.247,0.29099999999999998,79,18,3,1,0,4,4,2,15,1,2,4,0
"Eggleston, Angel",ROME,28,1B,ML,22,0.32,0.39300000000000002,0.42699999999999999,75,24,2,0,2,12,8,9,6,2,0,4,0
"Elwood, John",BANG,29,CF,ML,4,0.42899999999999999,0.5,0.71399999999999997,14,6,1,0,1,4,2,2,3,0,0,0,0
"Ernstes, Arnold",PEOR,27,LF,ML,23,0.26600000000000001,0.29299999999999998,0.46800000000000003,79,21,5,1,3,12,10,3,6,0,0,3,0
"Essman, Cody",EDMO,26,LF,ML,5,0.5,0.55600000000000005,0.625,8,4,1,0,0,0,2,1,0,0,0,0,0
"Eveland, Matthew",ERIE,32,CF,ML,13,0.316,0.45800000000000002,0.42099999999999999,19,6,2,0,0,7,0,5,1,0,0,1,0
"Fackler, Matthew",SUGR,26,2B,ML,26,0.26100000000000001,0.33700000000000002,0.47699999999999998,88,23,4,0,5,16,18,10,10,0,0,3,0
"Farmer, Hayden",IDA,26,CF,ML,24,0.27,0.311,0.52,100,27,4,0,7,14,23,6,15,0,1,7,0
"Felino, Gino",LV,25,1B,ML,25,0.375,0.40600000000000003,0.55200000000000005,96,36,8,0,3,11,10,5,9,0,0,4,0
"Feoli, Mark",CHES,27,1B,ML,9,0.26900000000000002,0.36699999999999999,0.308,26,7,1,0,0,1,2,4,4,0,0,2,0
"Fernandez, Paul",LOUI,27,LF,ML,26,0.27,0.33,0.55100000000000005,89,24,4,0,7,10,18,8,17,0,0,5,0
"Fillmore, Joe",SCRN,26,C,ML,5,0.154,0.214,0.23100000000000001,13,2,1,0,0,1,0,1,1,0,0,2,0
"Fleece, Jason",OKC,25,LF,ML,23,0.29499999999999998,0.38900000000000001,0.46200000000000002,78,23,7,0,2,15,11,12,8,0,1,1,1
"Flynn, Joe",SF,29,SS,ML,27,0.27300000000000002,0.33800000000000002,0.51200000000000001,121,33,8,0,7,22,19,12,19,0,0,3,0
"Foreman, Red",MAIN,38,3B,ML,12,0.24,0.29599999999999999,0.4,25,6,1,0,1,4,3,2,6,0,0,2,0
"Forseth, John",WISC,32,C,ML,25,0.26400000000000001,0.29099999999999998,0.434,106,28,6,0,4,16,12,4,9,1,1,5,0
"Foster, Timmy",MAHO,34,3B,ML,26,0.32,0.38300000000000001,0.629,97,31,7,1,7,20,16,10,15,0,1,1,0
"Fox, Kerry",PEOR,26,LF,ML,18,0.23499999999999999,0.23499999999999999,0.38200000000000001,68,16,0,2,2,7,5,0,13,0,0,5,0
"Fox, Sophocles",ELP,36,RF,ML,26,0.28299999999999997,0.372,0.39400000000000002,99,28,5,0,2,16,8,14,17,0,1,3,1
"Frack, Teddy",LV,23,CF,ML,9,0.214,0.214,0.214,14,3,0,0,0,0,0,0,2,0,0,0,0
"Franklin, Bill",MAHO,34,SS,ML,8,0.27300000000000002,0.314,0.30299999999999999,33,9,1,0,0,4,3,2,4,0,0,0,0
"Fremont, Michael",SUGR,34,2B,ML,26,0.35,0.35,0.57299999999999995,103,36,6,1,5,20,23,0,11,1,3,3,1
"Froman, Abe",CASP,28,LF,ML,24,0.26500000000000001,0.32700000000000001,0.439,98,26,5,0,4,8,16,9,5,0,0,2,0
"Fuhriman, Dallas",OKC,27,RF,ML,23,0.26700000000000002,0.32700000000000001,0.53300000000000003,90,24,3,0,7,19,24,8,17,0,0,0,0
"Fung, Ben",MIDL,32,3B,ML,16,0.31900000000000001,0.38500000000000001,0.59599999999999997,47,15,3,2,2,12,10,5,7,0,0,0,0
"Funk, Flash",ROCK,26,CF,ML,25,0.24,0.29499999999999998,0.308,104,25,3,2,0,14,7,8,4,12,1,9,0
"Furniss, Darrell",OMA,27,3B,ML,25,0.3,0.38200000000000001,0.5,90,27,0,0,6,16,13,12,14,0,0,5,0
"Gabourel, Buck",SCRN,31,2B,ML,7,0.27800000000000002,0.40899999999999997,0.44400000000000001,18,5,0,0,1,3,6,4,1,0,0,0,0
"Gajewski, Kenny",MIDL,36,1B,ML,25,0.20899999999999999,0.29399999999999998,0.29699999999999999,91,19,2,0,2,14,6,11,17,0,0,5,0
"Garcia, Bill",ALTO,27,1B,ML,10,0.46200000000000002,0.53300000000000003,0.53800000000000003,13,6,1,0,0,1,1,2,0,0,0,0,0
"Garcia, Brandon",SCRN,27,SS,ML,26,0.189,0.28000000000000003,0.28399999999999997,95,18,0,0,3,10,9,12,22,0,0,2,0
"Garron, Michael",MAHO,26,CF,ML,21,0.30299999999999999,0.35399999999999998,0.34799999999999998,89,27,4,0,0,11,7,7,13,0,0,2,0
"Gaston, Willie",EDMO,30,RF,ML,11,0.33300000000000002,0.44400000000000001,0.66700000000000004,15,5,2,0,1,7,3,3,6,0,0,2,0
"Gecko, Seth",CASP,30,3B,ML,24,0.35299999999999998,0.4,0.55900000000000005,102,36,6,0,5,16,21,8,4,0,0,5,0
"Gentry, Mike",ROME,26,LF,ML,26,0.215,0.27,0.36599999999999999,93,20,6,1,2,12,12,7,18,2,1,2,0
"Godwin, Karl",MIDL,25,2B,ML,25,0.27600000000000002,0.30399999999999999,0.439,98,27,10,0,2,7,11,4,8,0,0,3,0
"Gonzalez, Dan",PEOR,28,3B,ML,25,0.25,0.26500000000000001,0.37,100,25,3,0,3,12,17,2,15,0,0,11,0
