Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
"Lou, Captain",PORT,28,P,ML,4.41,41,38,1,1,122,104,7,4,659.33,207,175,707,152,9,76,12,8,2,38,0,351,323,0.26300000000000001,0.308,0.41199999999999998
"Lowery, Scott",OMA,28,P,ML,5.35,11,23,19,6,158,24,1,1,328.33,222,116,378,77,9,60,17,16,0,24,0,211,195,0.27700000000000002,0.33400000000000002,0.47899999999999998
"Lucas, Charlie",AUCK,30,P,ML,5.39,44,38,0,0,152,125,6,3,754.67,564,212,902,181,21,125,10,3,0,40,0,479,452,0.28499999999999998,0.33,0.47399999999999998
"Maasch, Butch",MAIN,37,P,ML,4.34,140,124,0,0,378,375,29,16,2261.33,1701,660,2361,441,40,278,103,77,14,116,0,1180,1090,0.25800000000000001,0.308,0.40600000000000003
"Maker, Henry",PEOR,33,P,ML,3.23,123,59,44,23,537,48,1,1,1594.33,1296,512,1413,232,22,135,65,49,5,90,0,619,573,0.22800000000000001,0.28699999999999998,0.33800000000000002
"Malone, Carl",LOUI,32,P,ML,5.01,80,59,0,0,230,230,5,4,1199.33,369,590,1321,156,23,111,93,41,4,76,0,700,668,0.26900000000000002,0.34699999999999998,0.377
"Marshak, Jack",ROCK,32,P,ML,4.54,67,65,0,0,219,216,2,1,1159.67,751,490,1249,207,14,119,40,31,8,54,0,630,585,0.26400000000000001,0.33300000000000002,0.38900000000000001
"Marshall, Gilbert",IDA,28,P,ML,5.23,16,21,7,6,132,29,2,2,325.33,146,126,362,80,8,40,16,10,1,32,0,202,189,0.27100000000000002,0.33300000000000002,0.432
"Martinez, Will",MIDL,34,P,ML,4.95,48,63,27,16,334,118,3,1,997.33,488,418,988,239,22,154,30,21,6,62,0,603,549,0.248,0.32,0.435
"Maru, Piper",ROME,30,P,ML,5.09,9,15,35,17,195,0,0,0,281.33,232,83,310,61,5,45,11,8,0,14,0,167,159,0.26900000000000002,0.318,0.44700000000000001
"Maruyama, Roosevelt (205)",FRIS,30,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Mayner, Jose",BANG,30,P,ML,4.37,41,37,23,6,228,97,3,1,745.33,244,164,850,118,8,85,32,22,3,34,0,395,362,0.27500000000000002,0.312,0.40100000000000002
"McCants, Ronald",MAIN,31,P,ML,4.8099999999999996,30,42,173,40,430,0,0,0,550,433,180,596,113,9,73,17,23,2,32,0,305,294,0.26500000000000001,0.32,0.42099999999999999
"McCollum, Benji",SUGR,26,P,ML,4.5,41,33,0,0,107,105,11,3,636,453,252,663,113,13,55,19,16,2,32,0,341,318,0.25800000000000001,0.32400000000000001,0.376
"McCranie, Ed",WISC,29,P,ML,4.1500000000000004,68,39,0,4,177,162,11,7,1017,678,329,1049,171,17,119,36,31,7,46,0,492,469,0.25600000000000001,0.311,0.39300000000000002
"McDonald, Mike",ELP,31,P,ML,4.4000000000000004,91,88,1,2,273,232,19,8,1508,1019,426,1601,288,30,191,36,33,8,82,0,795,737,0.26100000000000001,0.309,0.41199999999999998
"McIntyre, Turk (230)",NORW,29,P,ML,7.27,7,9,7,1,77,24,0,0,193,96,93,239,44,4,38,0,0,0,12,0,164,156,0.29199999999999998,0.36399999999999999,0.495
"McKinney, Jason",SUGR,27,P,ML,4.66,1,3,4,1,66,0,0,0,106.33,46,42,97,29,2,10,8,3,3,10,0,58,55,0.23300000000000001,0.30299999999999999,0.38500000000000001
"McMichael, Mongo",TEX,35,P,ML,4.7300000000000004,73,64,35,25,444,109,0,0,1154,664,496,1226,246,17,151,19,21,2,90,0,676,606,0.26200000000000001,0.33200000000000002,0.41799999999999998
"McMichael, Will",ELP,28,P,ML,4.55,23,22,18,7,161,37,0,0,393.33,198,123,421,65,5,48,15,10,0,26,0,207,199,0.26300000000000001,0.316,0.4
"McPherson, Brandon",TEX,35,P,ML,4.76,111,107,14,8,535,262,15,4,1997.67,1308,769,2294,309,28,217,93,60,19,116,0,1116,1056,0.27700000000000002,0.33800000000000002,0.39900000000000002
"Meinhof, Baader",ROME,27,P,ML,5.95,10,13,0,0,48,48,1,1,234.33,146,90,289,54,6,24,7,2,0,12,0,167,155,0.29099999999999998,0.35,0.43
"Mello, Darryl",AUCK,30,P,ML,4.59,51,33,19,20,413,0,0,0,848.33,523,294,887,196,25,114,38,29,4,58,0,461,433,0.25800000000000001,0.317,0.43
