Period,Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
LastYear,"Moizoos, Ibrahim",RICH,24,LF,ML,8,0.3,0.46200000000000002,0.3,10,3,0,0,0,2,3,3,1,0,0,0,0
LastYear,"Monterroso, Lawrence",ROME,29,2B,ML,153,0.30399999999999999,0.38300000000000001,0.435,556,169,31,3,12,72,82,71,168,1,2,15,2
LastYear,"Montgomery, Mayday",LAKE,32,CF,ML,153,0.33600000000000002,0.42099999999999999,0.61499999999999999,610,205,21,1,49,125,122,90,97,0,0,24,0
LastYear,"Morena, Otto",TEX,31,3B,ML,152,0.29499999999999998,0.36399999999999999,0.51400000000000001,584,172,43,2,27,92,93,64,44,0,1,17,1
LastYear,"Morris, Lucien",ERIE,29,SS,ML,157,0.27900000000000003,0.32900000000000001,0.45100000000000001,563,157,31,3,20,73,68,42,110,0,0,15,0
LastYear,"Morris, Simon",NORW,29,1B,ML,47,0.28199999999999997,0.36499999999999999,0.42399999999999999,85,24,6,0,2,18,12,11,8,6,5,6,1
LastYear,"Moxie, Maxx",SUGR,27,3B,ML,152,0.27700000000000002,0.34300000000000003,0.52600000000000002,559,155,29,4,34,90,102,56,112,1,0,10,0
LastYear,"Murakami, Munetaka",RICH,26,3B,ML,154,0.312,0.34399999999999997,0.48299999999999998,663,207,46,2,21,98,97,32,74,6,8,37,4
LastYear,"Murray, Maximilian",ELP,26,C,ML,150,0.26,0.32500000000000001,0.40699999999999997,538,140,23,4,16,77,72,52,136,17,21,14,1
LastYear,"Murrish, Lowell",FRIS,32,SS,ML,158,0.27200000000000002,0.34200000000000003,0.42699999999999999,578,157,26,2,20,98,99,62,73,11,4,29,1
LastYear,"Naomi, Kyrie",MIDL,32,RF,ML,154,0.34100000000000003,0.40100000000000002,0.51300000000000001,631,215,59,1,16,127,89,64,70,2,2,17,2
LastYear,"Newman, L.O.",PORT,27,C,ML,91,0.26100000000000001,0.29499999999999998,0.29699999999999999,165,43,4,1,0,22,12,8,13,0,0,8,0
LastYear,"Nieland, Alfonso",EDMO,25,CF,ML,12,0.30299999999999999,0.30299999999999999,0.45500000000000002,33,10,2,0,1,5,9,0,3,2,1,1,0
LastYear,"Nienaber, Edmundo",SCRN,29,3B,ML,97,0.217,0.34899999999999998,0.33300000000000002,198,43,4,2,5,33,26,40,36,0,0,6,0
LastYear,"Nissen, George",IDA,34,RF,ML,24,0.23,0.309,0.54100000000000004,61,14,1,0,6,11,12,7,8,0,0,1,0
LastYear,"Ogg, Harold",LAKE,21,C,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"Ok, Jose",BANG,25,LF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"Olvera, Tom",LAKE,33,CF,ML,152,0.27100000000000002,0.38900000000000001,0.36299999999999999,502,136,18,2,8,89,48,97,97,2,1,18,0
LastYear,"Oplinger, Gary",PEOR,27,RF,ML,115,0.308,0.42399999999999999,0.47299999999999998,393,121,19,5,12,72,54,79,52,0,6,26,5
LastYear,"Outlaw, Dan",RICH,30,CF,ML,159,0.30399999999999999,0.375,0.59499999999999997,602,183,38,1,45,112,120,68,155,0,1,13,1
LastYear,"Padilla, Joe",SCRN,34,1B,ML,154,0.23699999999999999,0.28899999999999998,0.31,583,138,20,1,7,55,60,43,85,0,0,8,0
LastYear,"Paquin, Sol",CASP,27,1B,ML,153,0.308,0.36299999999999999,0.43099999999999999,568,175,27,2,13,71,82,49,98,1,1,28,1
LastYear,"Parker, Rene",LAKE,29,2B,ML,131,0.27700000000000002,0.35099999999999998,0.44800000000000001,505,140,27,1,19,77,76,57,126,0,0,21,0
LastYear,"Pasha, Brandon",ALTO,33,1B,ML,154,0.24299999999999999,0.29699999999999999,0.378,637,155,27,1,19,76,94,49,91,0,2,21,2
LastYear,"Peck, Dean",SCRN,31,C,ML,152,0.33200000000000002,0.35299999999999998,0.47899999999999998,530,176,20,5,16,77,58,17,24,0,0,12,0
LastYear,"Peeples, Ed",WISC,28,C,ML,154,0.34100000000000003,0.44500000000000001,0.55900000000000005,581,198,50,1,25,105,109,109,110,1,1,11,1
LastYear,"Pendry, Brenton",WISC,36,1B,ML,155,0.28299999999999997,0.34499999999999997,0.45600000000000002,590,167,30,0,24,68,109,56,125,0,0,22,0
LastYear,"Pennant, George",NORW,26,SS,ML,154,0.313,0.38700000000000001,0.505,639,200,49,16,14,118,78,77,124,4,3,24,1
LastYear,"Peralto, Sung",AUCK,24,SS,ML,20,0.4,0.42899999999999999,0.6,40,16,2,0,2,11,11,2,8,5,1,3,0
LastYear,"Perry, John",ROME,27,2B,ML,157,0.27200000000000002,0.32200000000000001,0.40300000000000002,613,167,32,3,14,81,69,45,122,1,0,33,0
LastYear,"Peterson, Chubbs",MAIN,24,RF,ML,7,0.33300000000000002,0.45500000000000002,0.33300000000000002,9,3,0,0,0,1,2,2,0,0,0,0,0
LastYear,"Pickelsimer, Logan",MIDL,34,LF,ML,130,0.26,0.308,0.34200000000000003,500,130,28,2,3,64,54,35,72,1,0,22,0
LastYear,"Pierotti, Ben",MAIN,29,RF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"Pinder, Clifford",BANG,27,RF,ML,25,0.34899999999999998,0.41699999999999998,0.51200000000000001,43,15,3,2,0,8,4,5,6,0,0,0,0
LastYear,"Placencia, Jordan",FRIS,25,3B,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"Pollard, Carlos",RICH,30,3B,ML,119,0.26,0.28599999999999998,0.47899999999999998,192,50,5,2,11,35,30,7,50,1,0,9,0
LastYear,"Pora, Jim",ERIE,27,RF,ML,61,0.27300000000000002,0.316,0.438,176,48,9,1,6,25,26,11,41,0,1,8,1
LastYear,"Porter, Ham",PORT,29,C,ML,147,0.26,0.36099999999999999,0.49399999999999999,526,137,15,0,36,72,108,83,101,0,0,27,0
LastYear,"Porth, Bob",MAIN,30,1B,ML,150,0.33300000000000002,0.38900000000000001,0.42799999999999999,598,199,28,4,7,97,61,55,33,28,18,22,2
LastYear,"Press, Tomas",PORT,25,RF,ML,18,0.28199999999999997,0.33300000000000002,0.53800000000000003,39,11,1,0,3,5,6,3,12,0,1,1,0
LastYear,"Price, Manuel",CASP,24,3B,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"Pufnstuf, H.R.",FRIS,35,RF,ML,135,0.27800000000000002,0.374,0.40600000000000003,446,124,22,1,11,71,51,68,84,0,1,13,1
LastYear,"Quintanilla, Jason",FRIS,23,CF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"Quinto, Marsh",CASP,26,C,ML,140,0.27300000000000002,0.316,0.41499999999999998,465,127,17,2,15,57,64,29,40,0,1,10,0
LastYear,"Rawls, Toots",OKC,31,3B,ML,152,0.32200000000000001,0.39200000000000002,0.56999999999999995,584,188,18,5,39,91,105,67,81,1,0,21,0
LastYear,"Ray, Irv",DAY,30,2B,ML,158,0.32700000000000001,0.36,0.50900000000000001,645,211,48,0,23,100,106,33,35,0,1,24,1
LastYear,"Redmond, Bill",CHES,30,CF,ML,109,0.22700000000000001,0.29699999999999999,0.32600000000000001,132,30,5,1,2,18,18,13,13,4,1,1,0
LastYear,"Reeve, Eric",OMA,32,C,ML,157,0.23499999999999999,0.32400000000000001,0.44600000000000001,549,129,23,0,31,96,107,72,128,0,2,20,2
LastYear,"Rice, Andrew",CHES,39,2B,ML,102,0.24299999999999999,0.315,0.34899999999999998,284,69,6,0,8,39,28,30,44,0,0,12,0
LastYear,"Rice, Antonio",FRIS,29,3B,ML,43,0.34799999999999998,0.39700000000000002,0.57099999999999995,112,39,7,0,6,23,22,9,15,0,0,5,0
LastYear,"Richard, Rich",PORT,33,2B,ML,153,0.27300000000000002,0.35299999999999998,0.45,565,154,17,1,27,91,87,70,109,0,1,21,1
LastYear,"Richards, Roy",PEOR,26,C,ML,42,0.26300000000000001,0.27300000000000002,0.33600000000000002,137,36,10,0,0,15,7,2,9,1,1,12,1
LastYear,"Riggleman, Gary",LAKE,30,C,ML,128,0.28799999999999998,0.35599999999999998,0.36499999999999999,274,79,12,0,3,42,35,29,38,0,2,9,2
LastYear,"Rivera, Mike",CASP,31,1B,ML,135,0.33300000000000002,0.35899999999999999,0.497,567,189,39,3,16,96,57,23,37,1,2,25,2
LastYear,"Robinson, Raul",FRIS,35,C,ML,42,0.25,0.33,0.35,100,25,4,0,2,14,6,12,24,0,0,4,0
LastYear,"Rowley, Charles",SCRN,30,2B,ML,128,0.27700000000000002,0.34499999999999997,0.45700000000000002,394,109,25,2,14,62,61,41,86,0,0,16,0
LastYear,"Rudel, Richard",ROCK,28,RF,ML,64,0.30499999999999999,0.374,0.36599999999999999,82,25,2,0,1,12,4,9,7,1,0,3,0
LastYear,"Rudolph, Heath",CASP,34,1B,ML,74,0.30099999999999999,0.36,0.40500000000000003,163,49,8,0,3,26,28,15,23,0,0,3,0
LastYear,"Ruel, Muddy",ROCK,32,3B,ML,160,0.312,0.39,0.47799999999999998,581,181,34,3,19,84,102,75,97,0,1,18,1
LastYear,"Ruelas, Samuel",TEX,36,LF,ML,155,0.31900000000000001,0.38200000000000001,0.48899999999999999,562,179,26,2,22,74,108,58,66,0,2,18,1
LastYear,"Ruiz, Pedro",CASP,24,2B,ML,29,0.30299999999999999,0.374,0.46100000000000002,89,27,2,0,4,13,12,10,15,0,1,1,1
LastYear,"Ruppel, Kyle",ROCK,35,C,ML,151,0.28999999999999998,0.36299999999999999,0.55900000000000005,510,148,14,0,41,86,98,58,139,0,0,12,0
LastYear,"Ryder, Jesse",AUCK,29,1B,ML,153,0.33900000000000002,0.40400000000000003,0.59299999999999997,617,209,53,1,34,107,140,68,145,1,3,28,3
