Period,Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
Career,"Fenn, Forrest",LV,26,P,ML,4.0999999999999996,43,31,0,0,99,99,10,4,639.33000000000004,704,159,698,109,9,59,31,24,2,16,0,305,291,0.26700000000000002,0.309,0.38300000000000001
Career,"Ferioli, Dan",LV,32,P,ML,5.14,49,52,8,1,204,145,6,3,899.33,681,293,1082,203,16,112,22,22,2,68,0,539,514,0.28599999999999998,0.33800000000000002,0.437
Career,"Figueredo, Marcus",MAHO,26,P,ML,6.19,3,3,3,0,24,7,0,0,56.67,16,20,69,6,0,10,1,1,0,2,0,39,39,0.28899999999999998,0.34399999999999997,0.439
Career,"Finkel, Robert",MAHO,26,P,ML,5.75,4,4,0,0,14,13,0,0,56.33,31,16,75,10,0,9,3,0,0,2,0,45,36,0.307,0.35,0.45900000000000002
Career,"Firpo, Pampero",MAIN,27,P,ML,5.38,5,3,6,2,59,0,0,0,82,31,41,112,13,0,8,1,2,1,2,0,49,49,0.313,0.38300000000000001,0.41599999999999998
Career,"Flowers, Woodrow",DAY,37,P,ML,4.34,118,71,21,11,507,250,3,0,1905.33,1567,664,2116,309,30,179,54,67,11,98,0,988,919,0.27,0.32700000000000001,0.38600000000000001
Career,"Forkin, Tyree",LOUI,25,P,ML,5.14,3,3,0,0,12,12,0,0,61.33,56,32,74,11,0,7,5,1,0,6,0,35,35,0.28699999999999998,0.36599999999999999,0.41099999999999998
Career,"Fournier, Rich",OKC,31,P,ML,4.42,28,17,37,16,324,0,0,0,450.33,234,147,507,82,6,62,15,24,4,18,0,241,221,0.27300000000000002,0.32600000000000001,0.42399999999999999
Career,"Fowler, Larry",LOUI,34,P,ML,5.58,67,60,4,3,293,150,3,2,1044.33,569,648,1051,202,21,146,47,32,12,88,0,679,648,0.251,0.35199999999999998,0.41399999999999998
Career,"Freeborn, Antonio",SCRN,24,P,ML,12.67,0,2,0,0,6,6,0,0,16.329999999999998,4,15,30,9,1,4,0,0,0,0,0,23,23,0.38,0.47899999999999998,0.67100000000000004
Career,"Gaffey, Steve",WISC,37,P,ML,4.67,53,48,99,46,544,0,0,0,853,482,343,938,141,23,108,68,38,4,48,0,482,443,0.26800000000000002,0.33400000000000002,0.41399999999999998
Career,"Gallegos, Willie",NORW,32,P,ML,5.17,42,31,5,3,195,100,7,4,687,388,314,798,120,10,74,15,13,2,34,0,413,395,0.27900000000000003,0.35,0.40600000000000003
Career,"Gallinari, Chris",MIDL,27,P,ML,4.97,11,14,3,3,101,25,2,2,249.67,132,76,318,49,1,27,18,9,0,12,0,155,138,0.29799999999999999,0.34499999999999997,0.42199999999999999
Career,"Gamgee, Samwise",ROME,26,P,ML,4.74,21,18,0,0,63,54,4,2,357,254,141,381,64,4,49,1,6,0,18,0,195,188,0.26200000000000001,0.32800000000000001,0.41299999999999998
Career,"Ganino, John",SCRN,27,P,ML,5.62,8,26,2,1,74,52,4,1,301.33,174,122,345,58,6,32,10,10,1,18,0,213,188,0.27600000000000002,0.34100000000000003,0.40899999999999997
Career,"Garcia, Brendan",CHES,28,P,ML,4.38,45,25,0,0,96,94,10,2,605.66999999999996,343,198,688,101,8,60,11,7,2,40,0,300,295,0.27500000000000002,0.32800000000000001,0.39300000000000002
Career,"Gardner, Marc",WISC,37,P,ML,4.68,60,40,30,29,457,37,0,0,953.33,502,302,1086,208,22,121,26,22,5,58,0,549,496,0.27500000000000002,0.32700000000000001,0.43099999999999999
Career,"Garrett, Vincent",TEX,32,P,ML,5.18,25,31,10,11,251,36,1,1,504,184,202,557,104,7,68,17,8,0,42,0,302,290,0.26900000000000002,0.33400000000000002,0.42499999999999999
Career,"Garrido, Augie",FRIS,34,P,ML,4.76,78,72,16,9,340,184,12,0,1360.33,733,396,1563,292,28,166,50,37,6,78,0,767,719,0.27700000000000002,0.32400000000000001,0.42699999999999999
Career,"Gaston, Jesus",ALTO,27,P,ML,5.62,13,19,0,0,56,56,3,1,291.67,151,110,369,66,12,43,11,3,2,24,0,202,182,0.29699999999999999,0.35399999999999998,0.47299999999999998
Career,"Gatling, Blackout",CHES,34,P,ML,4.22,117,94,0,0,294,294,20,9,1820.33,1179,831,1690,370,21,216,40,37,7,108,0,943,854,0.23599999999999999,0.316,0.38500000000000001
Career,"Gawron, Cal",ALTO,26,P,ML,6.29,2,1,0,0,5,5,0,0,24.33,9,14,29,5,0,2,0,0,0,0,0,17,17,0.28399999999999997,0.371,0.39200000000000002
Career,"Georg, Spiders",OKC,37,P,ML,4.78,126,83,7,3,438,353,11,9,2066.67,1494,798,2101,389,34,312,84,56,8,104,0,1163,1097,0.253,0.31900000000000001,0.42099999999999999
Career,"Gil, Jerry (19)",ROCK,31,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Career,"Glasner, Mark",EDMO,35,P,ML,5.05,45,42,115,38,566,0,0,0,900.67,416,372,1016,150,18,113,60,24,5,52,0,546,505,0.27300000000000002,0.33900000000000002,0.41399999999999998
Career,"Glassner, Ivan",WISC,29,P,ML,4.57,28,24,9,5,202,43,2,1,505.67,360,191,578,66,8,45,16,8,3,30,0,264,257,0.27600000000000002,0.33600000000000002,0.379
Career,"Goldberg, Terry",LOUI,33,P,ML,4.68,41,41,76,33,461,0,0,0,753.67,485,247,895,123,6,78,18,27,4,20,0,427,392,0.28399999999999997,0.33600000000000002,0.40100000000000002
Career,"Gomez, Dewayne (22)",CHES,26,P,ML,5.55,1,4,1,1,39,0,0,0,47,11,19,71,10,0,6,2,0,0,2,0,29,29,0.33500000000000002,0.39,0.46700000000000003
Career,"Goodman, Brad",IDA,28,P,ML,4.8099999999999996,20,17,4,6,138,30,1,1,363,167,117,489,33,3,28,47,21,0,26,0,203,194,0.31,0.35799999999999998,0.38800000000000001
Career,"Gordon, Ross",PEOR,30,P,ML,5.27,7,10,21,4,152,5,0,0,206.67,121,75,237,45,3,32,3,2,0,14,0,128,121,0.27700000000000002,0.33500000000000002,0.44800000000000001
Career,"Graham, Lance",DAY,24,P,ML,6.2,1,2,0,0,7,4,0,0,20.329999999999998,19,13,16,3,0,2,0,0,0,2,0,14,14,0.20799999999999999,0.32200000000000001,0.32500000000000001
