Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
"Malone, Carl",LOUI,32,P,ML,4.32,14,8,0,0,34,34,0,0,177,49,68,206,22,2,16,20,6,0,14,0,88,85,0.28000000000000003,0.34,0.38
"Marshak, Jack",ROCK,32,P,ML,4.9000000000000004,8,8,0,0,28,28,0,0,143.33000000000001,86,57,177,34,2,20,2,5,2,8,0,86,78,0.29199999999999998,0.35199999999999998,0.45300000000000001
"Marshall, Gilbert",IDA,28,P,ML,4.57,2,4,5,3,68,0,0,0,122,60,56,126,25,3,21,3,5,0,12,0,69,62,0.25600000000000001,0.33200000000000002,0.44700000000000001
"Martinez, Will",MIDL,34,P,ML,5.18,3,10,2,3,52,10,0,0,130.33000000000001,59,49,150,38,2,24,2,3,1,6,0,86,75,0.27700000000000002,0.33700000000000002,0.48799999999999999
"Maru, Piper",ROME,30,P,ML,6.35,1,6,33,8,48,0,0,0,45.33,30,15,57,12,2,6,1,1,0,4,0,32,32,0.29499999999999998,0.34599999999999997,0.47199999999999998
"Maruyama, Roosevelt (205)",FRIS,30,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Mayner, Jose",BANG,30,P,ML,4.07,10,9,0,0,33,33,1,1,190.33,65,39,205,29,0,25,7,4,1,4,0,95,86,0.26400000000000001,0.29899999999999999,0.39800000000000002
"McCants, Ronald",MAIN,31,P,ML,4.41,6,4,6,1,58,0,0,0,120.33,99,38,118,23,0,12,5,7,0,6,0,61,59,0.246,0.30199999999999999,0.37
"McCollum, Benji",SUGR,26,P,ML,3.92,15,6,0,0,35,33,6,2,211,172,84,190,28,2,15,2,3,1,12,0,97,92,0.23100000000000001,0.30199999999999999,0.32400000000000001
"McCranie, Ed",WISC,29,P,ML,4.2699999999999996,14,11,0,0,30,30,2,2,183.33,133,53,200,31,1,26,4,7,0,10,0,94,87,0.26700000000000002,0.315,0.41499999999999998
"McDonald, Mike",ELP,31,P,ML,4.9400000000000004,9,12,0,0,32,32,1,1,176.67,105,54,200,26,4,22,5,4,0,26,0,111,97,0.27400000000000002,0.32400000000000001,0.41099999999999998
"McIntyre, Turk (230)",NORW,29,P,ML,7.12,2,3,5,1,38,0,0,0,54.33,24,28,63,8,1,10,0,0,0,0,0,45,43,0.27900000000000003,0.35799999999999998,0.45600000000000002
"McKinney, Jason",SUGR,27,P,ML,4.53,1,1,1,0,28,0,0,0,47.67,27,17,41,12,1,5,0,3,0,2,0,27,24,0.223,0.28899999999999998,0.38
"McMichael, Mongo",TEX,35,P,ML,5.59,8,7,3,4,61,0,0,0,132,72,59,158,40,3,16,2,1,0,18,0,92,82,0.28499999999999998,0.35399999999999998,0.45500000000000002
"McMichael, Will",ELP,28,P,ML,2.82,9,2,10,3,65,0,0,0,118,61,37,92,12,1,13,1,2,0,8,0,39,37,0.20599999999999999,0.26700000000000002,0.32500000000000001
"McPherson, Brandon",TEX,35,P,ML,5.31,9,10,1,2,40,20,1,0,147.33000000000001,93,53,179,26,1,11,8,3,2,10,0,89,87,0.28799999999999998,0.34399999999999997,0.38600000000000001
"Meinhof, Baader",ROME,27,P,ML,5.85,9,9,0,0,33,33,1,1,160,107,61,193,38,4,19,3,1,0,6,0,116,104,0.28699999999999998,0.34599999999999997,0.44
"Mello, Darryl",AUCK,30,P,ML,4.9000000000000004,8,4,3,4,63,0,0,0,123,63,31,130,33,7,13,2,1,2,10,0,70,67,0.26100000000000001,0.30399999999999999,0.433
"Meylan, Rudy",MIDL,24,P,ML,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Miller, Arthur",SUGR,29,P,ML,5.32,14,6,0,0,32,29,0,0,159,46,26,190,31,0,24,5,0,0,6,0,97,94,0.28499999999999998,0.312,0.439
"Milliron, Otis",LAKE,25,P,ML,3.38,0,0,1,0,7,0,0,0,8,4,2,9,4,0,0,0,0,0,0,0,3,3,0.27300000000000002,0.314,0.39400000000000002
"Monk, Adrian",EDMO,39,P,ML,4.2699999999999996,14,8,0,0,32,32,1,1,170.67,79,67,194,33,0,13,6,5,0,10,0,93,81,0.27500000000000002,0.33800000000000002,0.377
"Montiel, Alfredo",EDMO,24,P,ML,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Moody, Dave",ELP,26,P,ML,4.4800000000000004,11,15,0,0,34,34,1,0,190.67,123,74,211,34,4,17,14,7,0,12,0,96,95,0.26900000000000002,0.33300000000000002,0.38800000000000001
"Morales, Alton",RICH,26,P,ML,5.4,4,6,1,0,33,13,0,0,91.67,34,28,139,12,2,11,5,1,2,14,0,64,55,0.33600000000000002,0.378,0.45400000000000001
"Morgan, Alan",ERIE,32,P,ML,5.9,12,9,0,0,33,31,1,1,177,102,61,223,50,5,25,6,4,0,14,0,122,116,0.29599999999999999,0.34799999999999998,0.47499999999999998
"Morgan, Mac",PORT,35,P,ML,4.66,10,13,0,0,32,32,1,1,173.67,99,47,211,42,2,12,6,6,0,4,0,98,90,0.28799999999999998,0.33100000000000002,0.4
"Mrazek, Jeffrey",DAY,35,P,ML,4.96,3,3,1,1,21,1,0,0,32.67,12,14,46,9,0,4,1,0,0,4,0,25,18,0.31900000000000001,0.38,0.46500000000000002
"Muniz, Ernesto",ROME,32,P,ML,4.93,9,5,2,1,41,13,1,0,111.33,94,31,124,15,3,14,3,0,1,6,0,62,61,0.27100000000000002,0.317,0.40799999999999997
"Murray, Matthew",IDA,25,P,ML,6.42,5,6,21,9,47,0,0,0,47.67,21,16,66,4,1,5,10,4,1,6,0,39,34,0.316,0.36399999999999999,0.41599999999999998
"Nelson, Glenn",ELP,31,P,ML,3.86,4,2,6,2,51,0,0,0,77,52,26,86,15,0,12,1,1,0,0,0,39,33,0.27100000000000002,0.32700000000000001,0.432
"Nguyen, Richard",SF,31,P,ML,6.61,11,15,0,0,33,33,2,0,192,108,65,271,57,4,28,4,3,1,10,0,157,141,0.32,0.36799999999999999,0.496
"Nimmons, Don (3)",TEX,29,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Nixon, Brian (16)",MAIN,28,P,ML,5.66,4,2,1,2,49,0,0,0,89,63,36,110,12,1,14,8,3,0,4,0,57,56,0.29199999999999998,0.35399999999999998,0.44
"Oestreich, Javier",MAIN,30,P,ML,5.64,7,6,0,2,30,21,0,0,113.33,89,53,117,19,2,19,2,3,1,6,0,74,71,0.25600000000000001,0.33300000000000002,0.43099999999999999
"Olivas, Paul",SF,27,P,ML,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Opal, Paul",LAKE,35,P,ML,3.21,3,2,1,3,36,0,0,0,47.67,17,18,40,10,1,5,1,1,0,4,0,17,17,0.219,0.28899999999999998,0.36599999999999999
"Orscheln, Harry",CASP,35,P,ML,4.4800000000000004,4,0,1,0,41,0,0,0,66.33,39,24,72,9,1,7,1,5,0,10,0,33,33,0.26600000000000001,0.32500000000000001,0.38400000000000001
"Pabey, Harold",EDMO,32,P,ML,4.33,1,4,5,2,53,0,0,0,68.67,55,35,62,10,0,8,2,3,0,4,0,34,33,0.23100000000000001,0.32,0.35799999999999998
"Padley, Charlie",PORT,28,P,ML,3.16,1,1,7,0,38,0,0,0,57,31,31,48,7,1,3,1,0,2,4,0,21,20,0.219,0.316,0.30099999999999999
"Palacios, Guillermo",SCRN,29,P,ML,5.16,4,12,3,1,34,17,0,0,97.67,50,57,112,20,3,14,2,2,0,2,0,59,56,0.27700000000000002,0.36599999999999999,0.44400000000000001
"Papaleo, Bob",ERIE,34,P,ML,4.83,2,8,6,2,34,8,0,0,76.33,44,30,86,14,2,11,5,1,1,4,0,42,41,0.27300000000000002,0.33600000000000002,0.435
"Patel, Nolan",TEX,35,P,ML,9,2,1,2,2,27,0,0,0,49,40,28,70,15,1,7,2,2,2,8,0,55,49,0.32300000000000001,0.4,0.498
"Patel, Pi",NORW,27,P,ML,4.2300000000000004,12,11,0,0,33,33,5,0,223.67,132,73,220,56,4,24,3,3,2,8,0,107,105,0.247,0.30399999999999999,0.4
"Pearson, Erik",CASP,29,P,ML,3.84,11,8,0,0,28,28,2,2,166.33,99,70,154,31,1,17,10,12,1,8,0,73,71,0.23599999999999999,0.31,0.36399999999999999
"Pederson, Jim",MIDL,29,P,ML,4.09,6,3,5,3,53,0,0,0,110,34,35,115,13,0,12,1,3,0,8,0,61,50,0.25800000000000001,0.313,0.36899999999999999
"Peiper, Ira",ALTO,28,P,ML,6.46,1,4,1,2,57,0,0,0,78,32,27,94,19,3,12,7,0,0,4,0,58,56,0.28699999999999998,0.34100000000000003,0.47299999999999998
"Pena, Walter",MAHO,30,P,ML,4.82,12,11,0,0,34,31,2,0,190.33,138,56,223,37,3,26,7,6,1,6,0,108,102,0.28100000000000003,0.32800000000000001,0.433
"Pennypacker, H.E.",WISC,35,P,ML,6.7,3,6,1,0,31,12,0,0,87.33,34,28,120,27,1,15,2,1,0,8,0,70,65,0.314,0.36099999999999999,0.50800000000000001
"Peregrino, Antoine",ROCK,31,P,ML,4.9400000000000004,2,8,7,5,54,0,0,0,78.33,50,17,99,18,2,11,1,2,0,6,0,45,43,0.29599999999999999,0.33,0.46100000000000002
"Perez, Rube",ROCK,32,P,ML,4.5,1,0,1,0,24,0,0,0,26,7,8,33,1,1,2,1,2,0,6,0,15,13,0.29699999999999999,0.34499999999999997,0.378
"Perrins, Jesus",SF,27,P,ML,6.34,6,9,11,6,70,0,0,0,110.67,73,43,135,29,3,17,1,2,1,6,0,84,78,0.28899999999999998,0.34899999999999998,0.47299999999999998
"Perry, Cody",OMA,35,P,ML,5.5,3,4,4,5,50,4,0,0,72,38,12,87,22,1,13,6,1,0,10,0,46,44,0.28699999999999998,0.314,0.495
"Philbrook, Randy",SCRN,27,P,ML,3.39,4,6,7,2,62,0,0,0,132.66999999999999,72,47,144,24,0,14,4,5,1,10,0,60,50,0.26600000000000001,0.32400000000000001,0.38700000000000001
"Pinto, Merle",LOUI,34,P,ML,4.09,6,5,7,1,60,0,0,0,83.67,26,36,92,12,1,8,5,2,0,6,0,44,38,0.26800000000000002,0.33800000000000002,0.379
"Piper, Colin",FRIS,34,P,ML,7.71,3,11,0,0,33,33,0,0,140,96,49,206,57,5,34,3,2,0,12,0,131,120,0.32900000000000001,0.378,0.59899999999999998
"Pippenger, Wesley",AUCK,33,P,ML,10.16,1,4,0,0,16,7,1,1,36.33,14,15,67,10,0,4,0,0,0,0,0,42,41,0.38100000000000001,0.42899999999999999,0.50600000000000001
"Pov, Trevor",AUCK,35,P,ML,4.8,5,1,0,1,67,0,0,0,99.33,80,22,110,31,3,19,4,3,0,4,0,55,53,0.27,0.307,0.5
"Quinn, Jack",MAIN,29,P,ML,4.71,9,10,0,0,35,35,1,1,185.33,135,36,214,39,4,29,7,2,1,10,0,104,97,0.27800000000000002,0.31,0.45200000000000001
"Ramsey, John",NORW,31,P,ML,3.63,5,7,2,2,54,0,0,0,121.33,86,31,116,12,0,12,9,7,1,6,0,50,49,0.24199999999999999,0.28799999999999998,0.34200000000000003
"Ranft, Lenny",OMA,33,P,ML,5.61,7,6,6,3,57,5,0,0,122,135,44,121,44,3,22,7,5,0,4,0,78,76,0.248,0.311,0.48699999999999999
"Rasmussen, Lawrence",OKC,29,P,ML,4.92,6,4,1,1,37,17,0,0,115.33,70,50,149,32,2,11,3,4,0,4,0,74,63,0.30099999999999999,0.36499999999999999,0.44
"Ray, Vaughn",MAHO,34,P,ML,6.32,8,6,1,1,30,21,0,0,114,60,59,132,19,1,22,3,1,0,12,0,83,80,0.27800000000000002,0.35799999999999998,0.46200000000000002
